period_end_date,year,month,Revenue,Cost_of_Sales,Gross_Profit,Distribution_Costs,Administrative_Expenses,Profit_from_Operations,Profit_for_the_Period
2024-12-31,2024,12,1941892,1607594,334298,286275,80581,-26507,-53988
2024-09-30,2024,9,2139733,1707131,432602,351682,88697,40140,-53830
2024-03-31,2024,3,1682540,1439393,243147,193767,80255,-25349,14640
2024-03-31,2024,3,1486128,1123186,362942,154991,77853,135080,-69640
2023-12-31,2023,12,2089873,1670217,419656,239643,104539,87501,70768
2023-09-30,2023,9,2069984,1661929,408055,202073,103343,113159,175852
2023-06-30,2023,6,1474458,1275967,198491,162533,88727,-44991,-142922
2023-03-31,2023,3,1702720,1234766,467954,304953,122348,19939,-247433
2022-12-31,2022,12,1909048,1487153,421895,308958,108560,11502,52543
2022-09-30,2022,9,2661097,1979877,681220,353007,116536,217655,250220
2022-06-30,2022,6,6536932,4351826,2185106,1043144,309702,864516,1657892
2022-03-31,2022,3,6536932,4351826,2185106,1043144,309702,864516,1657892
2021-12-31,2021,12,1778416,1202429,575987,299925,76958,205982,181879
2021-09-30,2021,9,1754079,1155680,598399,248786,76198,279132,243320
2021-06-30,2021,6,1400300,955738,444562,180649,59170,210215,199429
2021-03-31,2021,3,1344850,921087,423763,110574,54818,267524,294833
